codigo,actividad,mujeres_hrs_sem,hombres_hrs_sem,diferencia
4131,Apoyo en tareas escolares a miembros del hogar de 0 a 14 años,1.469236417033774,0.4587108109592049,1.010525606074569
114,Trabajo de auxiliares o familiares no remunerado,1.2822075379344102,1.2085872728271017,0.07362026510730857
213,Cría y cuidado de animales y productos derivados,1.2586637298091043,1.0180091143688574,0.2406546154402469
4114,"Jugar, conversar o leer con miembros del hogar de 0 a 14 años",1.219309838472834,0.8029704057541318,0.4163394327187022
712,"Asistir a celebraciones comunitarias, cívicas o religiosas",1.187053352912384,0.8416241146433866,0.3454292382689973
730,Otras actividades de participación en juegos y aficiones,0.8779001468428781,0.3938670180640202,0.4840331287788579
431,Cuidado y apoyo a miembros del hogar de 60 años y más,0.7732990699951051,0.5367869104485807,0.23651215954652438
112,Trabajo como empleador o patrón,0.7606461086637298,1.826470103772031,-1.065823995108301
371,Cuidar mascotas,0.7377141458639256,0.45829901718552685,0.27941512867839874
211,"Cuidado de la milpa, parcela, huerto o similares",0.6961331375428292,1.2696700159226926,-0.5735368783798633
4141,Acompañamiento y traslados a guarderías o centros de enseñanza a miembros del ho,0.6802741067058248,0.20518311096469552,0.47509099574112923
312,Servir los alimentos y limpiar el lugar donde se comió,0.6799804209495839,0.11236479437764234,0.5676156265719415
4113,"Bañar, asear o arreglar a miembros del hogar de 0 a 14 años",0.6412139011257953,0.06083566683138418,0.5803782342944112
4132,"Asistir a juntas, festivales u otras actividades de apoyo escolar o de aprendiza",0.6317670093000489,0.4884972272552573,0.14326978204479163
310,Otras actividades de preparación y servicio de comida,0.5662506118453255,0.18838192499862735,0.37786868684669817
81,"Leer libros, revistas, periódicos u otro material por cualquier medio",0.5496084189916789,0.7689562400483171,-0.2193478210566382
410,Otras actividades de cuidado y apoyo a miembros del hogar de 0 a 14 años,0.5278267254038179,0.133421182671718,0.39440554273209993
722,Asistir a eventos de entretenimiento,0.5134605971610376,0.5505682754076758,-0.03710767824663819
62,Traslados para actividades de estudio,0.49148311306901615,0.5465601493438753,-0.05507703627485916
912,Cuidado de la salud (incluye traslados),0.4809348996573666,0.2961346291110745,0.18480027054629206
710,Otras actividades de convivencia social,0.46145374449339205,0.4800691813539779,-0.018615436860585866
742,Hacer ejercicio físico,0.44280469897209984,0.67495744797672,-0.23215274900462013
332,Planchar o guardar la ropa,0.42161037689672054,0.12897380991599408,0.2926365669807265
512,Trabajo de cuidado no remunerado a personas de otros hogares,0.3747919725893294,0.12955032119914348,0.24524165139018592
10,Otras actividades productivas,0.3698972099853157,0.44166254872892985,-0.07176533874361413
350,Otras actividades de administración para el propio hogar,0.3557513460597161,0.2979465217152584,0.05780482434445772
218,Compras y traslados relacionados con actividades de autoconsumo de bienes,0.2943465491923642,0.17945972656893427,0.11488682262342992
610,Otras actividades de estudio,0.2894273127753304,0.21152473507933894,0.07790257769599146
612,Educación a distancia y educación extracurricular,0.2784875183553598,0.32386207653873605,-0.04537455818337627
320,Otras actividades de limpieza de la vivienda,0.2720264317180617,0.1852522923186735,0.08677413939938819
4413,Estar pendiente de miembros del hogar con discapacidad o dependencia permanente,0.27038668624571705,0.091610388184264,0.17877629806145307
614,Actividades de aprendizaje y estudio complementarias,0.2656632403328439,0.35664086092351616,-0.09097762059067227
741,Practicar algún deporte,0.26448849730788054,1.1176083017624774,-0.8531198044545969
4112,Cargar y acostar a miembros del hogar de 0 a 14 años,0.24894762604013707,0.045022785922143524,0.20392484011799356
511,Quehaceres domésticos no remunerado para otros hogares,0.23839941262848752,0.06083566683138418,0.17756374579710332
510,Otras actividades no remuneradas de ayuda a otros hogares,0.23629466470876165,0.20235546038543897,0.033939204323322675
720,"Otras actividades relacionadas con asistencia a eventos culturales, de entreteni",0.22043563387175724,0.3004447372755724,-0.08000910340381517
215,Recolección de leña,0.2057758198727362,0.2661285894690606,-0.06035276959632441
4411,"Dar de comer, bañar y arreglar a miembros del hogar con discapacidad o dependenc",0.184630445423397,0.035276999945094166,0.14935344547830282
4140,Acompañamiento y traslados a cualquier otro lugar a miembros del hogar de 0 a 14,0.17400881057268722,0.05100752209959919,0.12300128847308803
372,Cuidar plantas,0.16395007342143905,0.12038104650524352,0.04356902691619553
12,Trabajo en formación no remunerado,0.1551395007342144,0.0812057321693296,0.0739337685648848
352,Organizar documentos y presupuestos,0.14598629466470878,0.11576895624004832,0.030217338424660456
723,Asistir a eventos deportivos,0.14434654919236417,0.24482512491077804,-0.10047857571841387
351,Hacer trámites y pagar servicios (incluye traslados),0.13159569260890847,0.16260363476637565,-0.03100794215746719
421,Cuidado y apoyo a miembros del hogar de 15 a 59 años,0.10770925110132158,0.04543457969582166,0.06227467140549992
333,Reparación y arreglos menores de ropa y textiles,0.10161527165932452,0.014302970405754133,0.08731230125357038
412,Cuidado temporal de salud a miembros del hogar de 0 a 14 años,0.09437102300538425,0.026080272332948993,0.06829075067243526
521,Trabajo no remunerado para mejora de la comunidad,0.08908467939304943,0.13668807994289792,-0.04760340054984849
432,Cuidado temporal de salud a miembros del hogar de 60 años y más,0.08734703866862457,0.03275133146653489,0.054595707202089686
4230,Acompañamiento y traslados a cualquier otro lugar a miembros del hogar de 15 a 5,0.086074400391581,0.0896337780706089,-0.003559377679027906
4412,"Jugar, conversar o leer con miembros del hogar con discapacidad o dependencia pe",0.08259911894273128,0.04128918904079504,0.04130992990193624
731,"Artes plásticas, gráficas, literarias o escénicas",0.08223201174743025,0.11939274144841595,-0.037160729700985703
4422,Cuidado permanente de salud a miembros del hogar con discapacidad o dependencia,0.07736172295643662,0.05776093998792072,0.019600782968515897
4331,Acompañamiento y traslados a centros de atención de salud a miembros del hogar d,0.07701908957415565,0.031021797617086698,0.045997291957068955
530,Otras actividades de trabajo voluntario,0.0765296133137543,0.07969582166584308,-0.0031662083520887785
362,"Comprar ropa, calzado u otros bienes para los miembros del hogar",0.07574645129711209,0.051474221709767745,0.024272229587344346
4330,Acompañamiento y traslados a cualquier otro lugar a miembros del hogar de 60 año,0.07383749388154676,0.07420523801680119,-0.00036774413525443583
4142,Acompañamiento y traslados a centros de atención de salud a miembros del hogar d,0.07170827214880078,0.013369571185417008,0.05833870096338377
314,"Llevar comida a algún integrante del hogar a su trabajo, escuela u otro lugar",0.06798825256975037,0.00834568714654368,0.05964256542320669
520,Otro trabajo no remunerado de apoyo a la comunidad,0.06771904062652961,0.09117114149234064,-0.023452100865811024
212,Recolección de productos agrícolas silvestres,0.06098874204601078,0.052380168011859664,0.008608574034151113
522,Trabajo no remunerado para la vida social de la comunidad,0.060230053842388644,0.0322022731016307,0.028027780740757943
732,"Juegos de mesa, de azar y otros",0.058247674987763086,0.07854279909954429,-0.0202951241117812
360,Otras compras de bienes,0.05739109153206069,0.049195629495415366,0.008195462036645326
322,"Tirar, separar o reciclar la basura",0.05619187469407733,0.06196123647943778,-0.005769361785360444
216,Acarreo de agua,0.055506607929515416,0.0554274419370779,7.916599243751321e-05
430,Otras actividades de cuidado y apoyo a miembros del hogar de 60 años y más,0.04870288790993636,0.03632021083841212,0.01238267707152424
4430,Acompañamiento y traslado a cualquier otro lugar a miembros del hogar con discap,0.04701419481155164,0.046038543897216275,0.0009756509143353659
721,Asistir a eventos culturales,0.04038179148311307,0.02632734859715588,0.01405444288595719
4231,Acompañamiento y traslados a centros de atención de salud a miembros del hogar d,0.0386441507586882,0.05312139680448032,-0.01447724604579212
341,"Mantenimiento, instalaciones y reparaciones menores de la vivienda",0.03350465002447381,0.24872343930159777,-0.21521878927712396
